family,src,target,w,h,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
原材料 → 行业,chem,Chems,1,3,0.6543,0.1238,-0.2215,-0.5257,-0.4477,-1.5391,False,False
原材料 → 行业,chem,Chems,1,6,0.4597,0.5023,-0.5271,-0.4037,-0.7394,-0.6709,False,False
原材料 → 行业,chem,Chems,3,1,0.7423,0.2187,-0.0261,-0.0769,-0.3288,-1.2299,False,False
原材料 → 行业,chem,Chems,3,3,0.6001,0.1951,-0.1009,-0.2368,-0.5243,-1.2958,False,False
原材料 → 行业,chem,Chems,3,6,0.3351,0.7023,-0.2147,-0.1066,-0.964,-0.3822,False,False
原材料 → 行业,chem,Chems,6,1,0.5545,0.4933,-0.0218,-0.0317,-0.5911,-0.685,False,False
原材料 → 行业,chem,Chems,6,3,0.4712,0.5648,-0.0556,-0.0754,-0.7205,-0.5757,False,False
原材料 → 行业,chem,Chems,6,6,0.2835,0.7871,-0.1152,-0.0463,-1.0724,-0.2701,False,False
原材料 → 行业,chem,Chips,1,1,0.9655,0.0681,0.0105,-0.4375,0.0433,-1.8244,False,False
原材料 → 行业,chem,Chips,1,3,0.4489,0.0597,0.3986,-0.9963,0.7573,-1.8827,False,False
原材料 → 行业,chem,Chips,1,6,0.5427,0.1437,0.5941,-1.3519,0.6087,-1.462,False,False
原材料 → 行业,chem,Chips,3,1,0.4947,0.1199,0.0569,-0.1564,0.6829,-1.5553,False,False
原材料 → 行业,chem,Chips,3,3,0.5456,0.1708,0.1315,-0.3292,0.6043,-1.3697,False,False
原材料 → 行业,chem,Chips,3,6,0.5597,0.349,0.2112,-0.4758,0.5833,-0.9366,False,False
原材料 → 行业,chem,Chips,6,1,0.5208,0.1094,0.03,-0.0995,0.6421,-1.6008,False,False
原材料 → 行业,chem,Chips,6,3,0.567,0.3113,0.0658,-0.1888,0.5724,-1.0125,False,False
原材料 → 行业,chem,Chips,6,6,0.5326,0.5823,0.1107,-0.2057,0.624,-0.5501,False,False
原材料 → 行业,chem,Clths,1,1,0.8203,0.3152,0.0654,0.2127,0.2272,1.0045,False,False
原材料 → 行业,chem,Clths,1,3,0.9042,0.5433,-0.0824,-0.2984,-0.1204,-0.6078,False,False
原材料 → 行业,chem,Clths,1,6,0.8236,0.9525,-0.2014,0.0432,-0.2229,0.0595,False,False
原材料 → 行业,chem,Clths,3,1,0.8288,0.5099,-0.0242,-0.0628,-0.2163,-0.659,False,False
原材料 → 行业,chem,Clths,3,3,0.9182,0.4314,-0.0238,-0.1916,-0.1027,-0.7868,False,False
原材料 → 行业,chem,Clths,3,6,0.8974,0.7958,0.0495,0.0983,0.129,0.2588,False,False
原材料 → 行业,chem,Clths,6,1,0.7553,0.6999,-0.0138,-0.0223,-0.3117,-0.3854,False,False
原材料 → 行业,chem,Clths,6,3,0.8657,0.9505,0.0215,0.0097,0.1692,0.062,False,False
原材料 → 行业,chem,Clths,6,6,0.3343,0.5249,0.2065,0.1892,0.9655,0.6358,False,False
原材料 → 行业,chem,Cnstr,1,1,0.6371,0.2205,0.1354,-0.2552,0.4718,-1.2253,False,False
原材料 → 行业,chem,Cnstr,1,3,0.2944,0.0101,0.6922,-1.2039,1.0485,-2.5727,False,False
原材料 → 行业,chem,Cnstr,1,6,0.1932,0.0135,1.4585,-1.8585,1.3012,-2.4694,False,False
原材料 → 行业,chem,Cnstr,3,1,0.4657,0.0129,0.0791,-0.2312,0.7294,-2.4866,False,False
原材料 → 行业,chem,Cnstr,3,3,0.266,0.0019,0.3119,-0.68,1.1123,-3.1007,False,False
原材料 → 行业,chem,Cnstr,3,6,0.1851,0.0347,0.6004,-0.8329,1.3252,-2.1115,False,False
原材料 → 行业,chem,Cnstr,6,1,0.2515,0.0112,0.0606,-0.1407,1.1467,-2.5367,False,False
原材料 → 行业,chem,Cnstr,6,3,0.1879,0.0303,0.1905,-0.3207,1.3167,-2.1666,False,False
原材料 → 行业,chem,Cnstr,6,6,0.1478,0.4066,0.3146,-0.2484,1.4475,-0.83,False,False
原材料 → 行业,chem,Coal,1,1,0.0198,0.5122,1.0288,0.4197,2.3306,0.6554,False,False
原材料 → 行业,chem,Coal,1,3,0.014,0.581,3.2094,0.9575,2.4573,0.5519,False,False
原材料 → 行业,chem,Coal,1,6,0.0003,0.3225,6.9316,3.6194,3.6342,0.9894,True,False
原材料 → 行业,chem,Coal,3,1,0.034,0.5126,0.3659,0.205,2.1199,0.6547,False,False
原材料 → 行业,chem,Coal,3,3,0.0003,0.7035,1.3772,0.3853,3.577,0.3806,True,False
原材料 → 行业,chem,Coal,3,6,0.0,0.3395,2.8281,1.8462,4.5295,0.9552,True,False
原材料 → 行业,chem,Coal,6,1,0.0004,0.3623,0.2366,0.2173,3.5384,0.9109,True,False
原材料 → 行业,chem,Coal,6,3,0.0,0.3876,0.8068,0.6203,4.233,0.8641,True,False
原材料 → 行业,chem,Coal,6,6,0.0,0.3083,1.5295,1.4098,4.307,1.0188,True,False
原材料 → 行业,chem,Drugs,1,1,0.6423,0.7458,-0.139,-0.0656,-0.4645,-0.3241,False,False
原材料 → 行业,chem,Drugs,1,3,0.2208,0.06,-0.8828,0.988,-1.2245,1.8811,False,False
原材料 → 行业,chem,Drugs,1,6,0.0942,0.034,-1.6438,2.1229,-1.6738,2.1201,False,False
原材料 → 行业,chem,Drugs,3,1,0.366,0.0525,-0.0957,0.1828,-0.9041,1.9392,False,False
原材料 → 行业,chem,Drugs,3,3,0.0826,0.0054,-0.4341,0.7229,-1.7359,2.7846,False,False
原材料 → 行业,chem,Drugs,3,6,0.0711,0.0313,-0.7313,1.1345,-1.8052,2.1535,False,False
原材料 → 行业,chem,Drugs,6,1,0.201,0.0324,-0.0569,0.1251,-1.2786,2.1393,False,False
原材料 → 行业,chem,Drugs,6,3,0.0817,0.0269,-0.2324,0.4443,-1.741,2.2131,False,False
原材料 → 行业,chem,Drugs,6,6,0.027,0.0572,-0.4656,0.6252,-2.2116,1.9018,False,False
原材料 → 行业,chem,ElcEq,1,1,0.305,0.7098,-0.1854,-0.0732,-1.0258,-0.3722,False,False
原材料 → 行业,chem,ElcEq,1,3,0.2243,0.3332,-0.4738,-0.4235,-1.2151,-0.9677,False,False
原材料 → 行业,chem,ElcEq,1,6,0.0901,0.1764,-1.2219,-0.8123,-1.6949,-1.352,False,False
原材料 → 行业,chem,ElcEq,3,1,0.1837,0.2685,-0.078,-0.0961,-1.3295,-1.1064,False,False
原材料 → 行业,chem,ElcEq,3,3,0.0659,0.2992,-0.2857,-0.205,-1.8389,-1.0382,False,False
原材料 → 行业,chem,ElcEq,3,6,0.1362,0.1167,-0.474,-0.4326,-1.4899,-1.5687,False,False
原材料 → 行业,chem,ElcEq,6,1,0.1765,0.1941,-0.0463,-0.0645,-1.3517,-1.2986,False,False
原材料 → 行业,chem,ElcEq,6,3,0.1932,0.1197,-0.1326,-0.1707,-1.3013,-1.5561,False,False
原材料 → 行业,chem,ElcEq,6,6,0.2118,0.0759,-0.219,-0.3494,-1.2487,-1.7752,False,False
原材料 → 行业,chem,FabPr,1,1,0.5748,0.9451,0.1616,0.0277,0.561,0.0689,False,False
原材料 → 行业,chem,FabPr,1,3,0.0934,0.4082,1.0508,0.8081,1.6779,0.8271,False,False
原材料 → 行业,chem,FabPr,1,6,0.049,0.827,1.8694,0.3366,1.9686,0.2185,False,False
原材料 → 行业,chem,FabPr,3,1,0.1487,0.7846,0.1406,0.0516,1.4441,0.2734,False,False
原材料 → 行业,chem,FabPr,3,3,0.0614,0.5378,0.4439,0.2881,1.8706,0.6162,False,False
原材料 → 行业,chem,FabPr,3,6,0.0647,0.8004,0.6804,-0.2024,1.8476,-0.2528,False,False
原材料 → 行业,chem,FabPr,6,1,0.1568,0.9653,0.0667,-0.0046,1.4159,-0.0435,False,False
原材料 → 行业,chem,FabPr,6,3,0.0997,0.7224,0.182,-0.1078,1.6463,-0.3553,False,False
原材料 → 行业,chem,FabPr,6,6,0.1369,0.5992,0.2737,-0.2759,1.4876,-0.5255,False,False
原材料 → 行业,chem,Fin,1,1,0.1983,0.0308,-0.2267,-0.3899,-1.2865,-2.16,False,False
原材料 → 行业,chem,Fin,1,3,0.2256,0.1862,-0.5615,-0.7098,-1.2118,-1.3218,False,False
原材料 → 行业,chem,Fin,1,6,0.3237,0.1708,-0.7013,-1.4145,-0.987,-1.3695,False,False
原材料 → 行业,chem,Fin,3,1,0.2948,0.3597,-0.0805,-0.0847,-1.0476,-0.9158,False,False
原材料 → 行业,chem,Fin,3,3,0.4199,0.3297,-0.1562,-0.2888,-0.8066,-0.9747,False,False
原材料 → 行业,chem,Fin,3,6,0.3968,0.2393,-0.2657,-0.5431,-0.8473,-1.1768,False,False
原材料 → 行业,chem,Fin,6,1,0.462,0.1929,-0.0297,-0.0888,-0.7355,-1.3021,False,False
原材料 → 行业,chem,Fin,6,3,0.4564,0.2128,-0.0759,-0.2273,-0.7447,-1.246,False,False
原材料 → 行业,chem,Fin,6,6,0.2614,0.2,-0.206,-0.3041,-1.123,-1.2814,False,False
原材料 → 行业,chem,Food,1,1,0.2937,0.3293,0.2023,0.2042,1.05,0.9756,False,False
原材料 → 行业,chem,Food,1,3,0.5686,0.1287,0.3086,0.7181,0.5702,1.5191,False,False
原材料 → 行业,chem,Food,1,6,0.5629,0.0406,0.5425,1.9121,0.5785,2.0475,False,False
原材料 → 行业,chem,Food,3,1,0.5733,0.1462,0.047,0.1411,0.5632,1.4532,False,False
原材料 → 行业,chem,Food,3,3,0.6193,0.0784,0.1088,0.4485,0.4969,1.7601,False,False
原材料 → 行业,chem,Food,3,6,0.6338,0.0315,0.1769,1.0143,0.4763,2.1513,False,False
原材料 → 行业,chem,Food,6,1,0.7769,0.0326,0.0129,0.1193,0.2834,2.1373,False,False
原材料 → 行业,chem,Food,6,3,0.7627,0.0308,0.0371,0.385,0.3019,2.1592,False,False
原材料 → 行业,chem,Food,6,6,0.8063,0.0211,0.0489,0.6573,0.2452,2.3054,False,False
原材料 → 行业,chem,Fun,1,1,0.7663,0.0981,0.1009,-0.4457,0.2972,-1.6542,False,False
原材料 → 行业,chem,Fun,1,3,0.934,0.0476,0.0826,-1.226,0.0828,-1.9812,False,False
原材料 → 行业,chem,Fun,1,6,0.601,0.0209,0.9353,-2.9141,0.523,-2.3106,False,False
原材料 → 行业,chem,Fun,3,1,0.7633,0.0733,0.0469,-0.2206,0.3012,-1.7907,False,False
原材料 → 行业,chem,Fun,3,3,0.7815,0.0101,0.1272,-0.8298,0.2774,-2.5735,False,False
原材料 → 行业,chem,Fun,3,6,0.3407,0.0164,0.6694,-1.5941,0.9528,-2.3989,False,False
原材料 → 行业,chem,Fun,6,1,0.6056,0.0324,0.0498,-0.1626,0.5163,-2.1396,False,False
原材料 → 行业,chem,Fun,6,3,0.4644,0.0089,0.1659,-0.6094,0.7316,-2.6149,False,False
原材料 → 行业,chem,Fun,6,6,0.0621,0.0052,0.5741,-1.1302,1.8657,-2.794,False,False
原材料 → 行业,chem,Gold,1,1,0.8,0.2607,-0.1907,-0.6019,-0.2534,-1.1248,False,False
原材料 → 行业,chem,Gold,1,3,0.9821,0.0578,-0.0362,-1.9741,-0.0225,-1.8968,False,False
原材料 → 行业,chem,Gold,1,6,0.7048,0.7614,1.0025,0.4874,0.3789,0.3037,False,False
原材料 → 行业,chem,Gold,3,1,0.8621,0.285,-0.0419,-0.2379,-0.1737,-1.069,False,False
原材料 → 行业,chem,Gold,3,3,0.8065,0.565,0.1624,-0.2667,0.2449,-0.5755,False,False
原材料 → 行业,chem,Gold,3,6,0.8211,0.3582,0.2426,0.8397,0.2261,0.9188,False,False
原材料 → 行业,chem,Gold,6,1,0.9775,0.6452,0.0035,0.0577,0.0283,0.4605,False,False
原材料 → 行业,chem,Gold,6,3,0.879,0.3638,0.0502,0.3195,0.1522,0.9081,False,False
原材料 → 行业,chem,Gold,6,6,0.877,0.3241,-0.0901,0.589,-0.1548,0.986,False,False
原材料 → 行业,chem,Guns,1,1,0.8819,0.9871,-0.0481,0.0048,-0.1485,0.0162,False,False
原材料 → 行业,chem,Guns,1,3,0.9022,0.8111,0.0963,0.1426,0.1229,0.239,False,False
原材料 → 行业,chem,Guns,1,6,0.6589,0.2073,-0.5235,1.4056,-0.4415,1.261,False,False
原材料 → 行业,chem,Guns,3,1,0.9635,0.9955,0.0057,-0.0007,0.0458,-0.0056,False,False
原材料 → 行业,chem,Guns,3,3,0.7465,0.3604,-0.1073,0.2574,-0.3232,0.9147,False,False
原材料 → 行业,chem,Guns,3,6,0.5101,0.1954,-0.2845,0.7566,-0.6587,1.2948,False,False
原材料 → 行业,chem,Guns,6,1,0.7007,0.1989,-0.0246,0.0919,-0.3843,1.2847,False,False
原材料 → 行业,chem,Guns,6,3,0.6067,0.1505,-0.0793,0.3135,-0.5149,1.4376,False,False
原材料 → 行业,chem,Guns,6,6,0.3061,0.1288,-0.2017,0.6297,-1.0234,1.5189,False,False
原材料 → 行业,chem,Hardw,1,1,0.0968,0.7553,-0.4003,-0.0808,-1.6608,-0.3117,False,False
原材料 → 行业,chem,Hardw,1,3,0.0732,0.405,-0.9401,0.504,-1.7916,0.8327,False,False
原材料 → 行业,chem,Hardw,1,6,0.0081,0.5615,-2.131,0.5276,-2.6478,0.5806,False,False
