family,src,target,w,h,half,slope,t,n,p,sign
成本,25,ガラス・土石製品,6,3,H2,0.13152,0.77115,117,0.44062,-1
成本,25,ガラス・土石製品,6,6,H1,0.1544,0.18212,119,0.85549,-1
成本,25,ガラス・土石製品,6,6,H2,0.50865,1.51953,114,0.12863,-1
成本,46,ガラス・土石製品,1,1,H1,0.0143,0.1299,119,0.89664,-1
成本,46,ガラス・土石製品,1,1,H2,-0.03809,-0.39222,119,0.6949,-1
成本,46,ガラス・土石製品,1,3,H1,-0.08884,-0.40657,119,0.68432,-1
成本,46,ガラス・土石製品,1,3,H2,-0.31308,-1.75429,117,0.07938,-1
成本,46,ガラス・土石製品,1,6,H1,-0.04832,-0.17213,119,0.86334,-1
成本,46,ガラス・土石製品,1,6,H2,-0.18934,-0.97214,114,0.33098,-1
成本,46,ガラス・土石製品,3,1,H1,-0.0081,-0.16429,119,0.8695,-1
成本,46,ガラス・土石製品,3,1,H2,-0.07591,-1.70706,119,0.08781,-1
成本,46,ガラス・土石製品,3,3,H1,-0.01417,-0.09856,119,0.92149,-1
成本,46,ガラス・土石製品,3,3,H2,-0.09888,-1.36372,117,0.17265,-1
成本,46,ガラス・土石製品,3,6,H1,-0.09881,-0.67146,119,0.50193,-1
成本,46,ガラス・土石製品,3,6,H2,-0.19106,-1.76844,114,0.07699,-1
成本,46,ガラス・土石製品,6,1,H1,0.01401,0.44884,119,0.65355,-1
成本,46,ガラス・土石製品,6,1,H2,-0.02965,-1.3999,119,0.16154,-1
成本,46,ガラス・土石製品,6,3,H1,-0.02655,-0.3353,119,0.7374,-1
成本,46,ガラス・土石製品,6,3,H2,-0.082,-1.74781,117,0.0805,-1
成本,46,ガラス・土石製品,6,6,H1,-0.20877,-1.65926,119,0.09706,-1
成本,46,ガラス・土石製品,6,6,H2,-0.13335,-1.83897,114,0.06592,-1
成本,06,ガラス・土石製品,1,1,H1,-0.05838,-1.68647,119,0.09171,-1
成本,06,ガラス・土石製品,1,1,H2,-0.01112,-0.3274,119,0.74337,-1
成本,06,ガラス・土石製品,1,3,H1,-0.18858,-3.1272,119,0.00176,-1
成本,06,ガラス・土石製品,1,3,H2,-0.08861,-1.32044,117,0.18669,-1
成本,06,ガラス・土石製品,1,6,H1,-0.26468,-2.85727,119,0.00427,-1
