family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
外部需求 → 日本,jp_exp,T11,3,1,0,0.744,0.0473,-0.0186,0.1719,-0.3266,1.9837,False,False
外部需求 → 日本,jp_exp,T11,3,1,3,0.4185,0.0419,0.0329,-0.1231,0.8091,-2.0349,False,False
外部需求 → 日本,jp_exp,T11,3,1,6,0.015,0.3853,-0.0898,-0.0619,-2.433,-0.8682,False,False
外部需求 → 日本,jp_exp,T11,3,3,0,0.4827,0.2085,0.0907,0.2099,0.702,1.2578,False,False
外部需求 → 日本,jp_exp,T11,3,3,3,0.9913,0.0251,0.0008,-0.2495,0.0109,-2.2394,False,False
外部需求 → 日本,jp_exp,T11,3,3,6,0.0003,0.93,-0.2937,0.0107,-3.5941,0.0879,True,False
外部需求 → 日本,jp_exp,T11,3,6,0,0.5876,0.4343,0.0968,-0.1419,0.5423,-0.7818,False,False
外部需求 → 日本,jp_exp,T11,3,6,3,0.0168,0.0266,-0.2938,-0.2509,-2.3918,-2.2174,False,False
外部需求 → 日本,jp_exp,T11,3,6,6,0.0121,0.1355,-0.3732,0.2127,-2.5104,1.4928,False,False
外部需求 → 日本,jp_exp,T11,6,1,0,0.982,0.6471,-0.0006,0.0298,-0.0226,0.4578,False,False
外部需求 → 日本,jp_exp,T11,6,1,3,0.1223,0.0904,-0.0247,-0.0948,-1.5452,-1.6935,False,False
外部需求 → 日本,jp_exp,T11,6,1,6,0.0124,0.953,-0.0628,0.0019,-2.4993,0.059,False,False
外部需求 → 日本,jp_exp,T11,6,3,0,0.6412,0.8681,0.0285,-0.0235,0.4661,-0.1661,False,False
外部需求 → 日本,jp_exp,T11,6,3,3,0.0058,0.1653,-0.1256,-0.1234,-2.76,-1.3876,False,False
外部需求 → 日本,jp_exp,T11,6,3,6,0.0187,0.1828,-0.155,0.0986,-2.3506,1.3323,False,False
外部需求 → 日本,jp_exp,T11,6,6,0,0.2117,0.1328,-0.0954,-0.2116,-1.2489,-1.5032,False,False
外部需求 → 日本,jp_exp,T11,6,6,3,0.0108,0.9274,-0.2832,-0.009,-2.5476,-0.0911,False,False
外部需求 → 日本,jp_exp,T11,6,6,6,0.0851,0.2675,-0.165,0.1381,-1.7219,1.1088,False,False
外部需求 → 日本,jp_exp,T13,1,1,0,0.458,0.0285,-0.0847,0.3182,-0.7421,2.1902,False,False
外部需求 → 日本,jp_exp,T13,1,1,3,0.6689,0.5709,0.0464,-0.076,0.4277,-0.5667,False,False
外部需求 → 日本,jp_exp,T13,1,1,6,0.6021,0.2757,-0.0484,-0.1698,-0.5214,-1.09,False,False
外部需求 → 日本,jp_exp,T13,1,3,0,0.7247,0.0084,0.0884,0.8071,0.3522,2.6361,False,False
外部需求 → 日本,jp_exp,T13,1,3,3,0.3449,0.2547,0.1421,-0.3163,0.9445,-1.139,False,False
外部需求 → 日本,jp_exp,T13,1,3,6,0.0446,0.1841,-0.2988,-0.3254,-2.0083,-1.3284,False,False
外部需求 → 日本,jp_exp,T13,1,6,0,0.4834,0.1287,0.2171,0.5686,0.7009,1.5192,False,False
外部需求 → 日本,jp_exp,T13,1,6,3,0.4532,0.0837,-0.159,-0.6348,-0.7501,-1.7293,False,False
外部需求 → 日本,jp_exp,T13,1,6,6,0.1229,0.5007,-0.2994,-0.1907,-1.5429,-0.6733,False,False
外部需求 → 日本,jp_exp,T13,3,1,0,0.8038,0.0006,0.0174,0.262,0.2484,3.4238,False,False
外部需求 → 日本,jp_exp,T13,3,1,3,0.3015,0.1684,0.0382,-0.1411,1.0333,-1.3775,False,False
外部需求 → 日本,jp_exp,T13,3,1,6,0.1188,0.0594,-0.0593,-0.1154,-1.5597,-1.8851,False,False
外部需求 → 日本,jp_exp,T13,3,3,0,0.4233,0.0421,0.1214,0.4125,0.8007,2.0329,False,False
外部需求 → 日本,jp_exp,T13,3,3,3,0.5223,0.033,0.0551,-0.4373,0.6398,-2.1326,False,False
外部需求 → 日本,jp_exp,T13,3,3,6,0.0176,0.498,-0.1796,-0.1029,-2.3744,-0.6776,False,False
外部需求 → 日本,jp_exp,T13,3,6,0,0.3582,0.7833,0.1651,0.0531,0.9189,0.2751,False,False
外部需求 → 日本,jp_exp,T13,3,6,3,0.2474,0.0555,-0.1253,-0.54,-1.1568,-1.9152,False,False
外部需求 → 日本,jp_exp,T13,3,6,6,0.635,0.5471,-0.0579,-0.1107,-0.4747,-0.6021,False,False
外部需求 → 日本,jp_exp,T13,6,1,0,0.5685,0.1146,0.0213,0.0703,0.5703,1.5777,False,False
外部需求 → 日本,jp_exp,T13,6,1,3,0.8119,0.0021,-0.0053,-0.1547,-0.238,-3.08,False,False
外部需求 → 日本,jp_exp,T13,6,1,6,0.3137,0.3812,-0.0207,-0.0448,-1.0074,-0.8757,False,False
外部需求 → 日本,jp_exp,T13,6,3,0,0.3512,0.7926,0.0742,-0.0291,0.9323,-0.2629,False,False
外部需求 → 日本,jp_exp,T13,6,3,3,0.4244,0.0244,-0.041,-0.34,-0.7988,-2.2515,False,False
外部需求 → 日本,jp_exp,T13,6,3,6,0.6683,0.611,-0.0245,-0.0613,-0.4284,-0.5087,False,False
外部需求 → 日本,jp_exp,T13,6,6,0,0.7454,0.0352,0.0279,-0.3332,0.3247,-2.1057,False,False
外部需求 → 日本,jp_exp,T13,6,6,3,0.3551,0.0603,-0.0652,-0.4131,-0.9247,-1.8784,False,False
外部需求 → 日本,jp_exp,T13,6,6,6,0.2032,0.4552,0.1229,0.178,1.2725,0.7469,False,False
