family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
主题 → 行业 / 主题,th:T1,T2,6,6,3,0.6774,0.777,0.0655,-0.0453,0.416,-0.2832,False,False
主题 → 行业 / 主题,th:T1,T2,6,6,6,0.0664,0.9742,0.1292,0.0051,1.836,0.0323,False,False
主题 → 行业 / 主题,th:T1,T3,1,1,0,0.6215,0.931,-0.0251,0.0094,-0.4937,0.0866,False,False
主题 → 行业 / 主题,th:T1,T3,1,1,3,0.1361,0.8584,0.0816,-0.0221,1.4907,-0.1784,False,False
主题 → 行业 / 主题,th:T1,T3,1,1,6,0.0988,0.6391,0.083,0.0542,1.6509,0.469,False,False
主题 → 行业 / 主题,th:T1,T3,1,3,0,0.0148,0.2755,-0.2404,0.2721,-2.4369,1.0905,False,False
主题 → 行业 / 主题,th:T1,T3,1,3,3,0.0198,0.8271,0.2738,0.0543,2.3296,0.2184,False,False
主题 → 行业 / 主题,th:T1,T3,1,3,6,0.7938,0.4485,0.0266,0.1982,0.2613,0.758,False,False
主题 → 行业 / 主题,th:T1,T3,1,6,0,0.8115,0.6401,0.0348,0.1576,0.2385,0.4676,False,False
主题 → 行业 / 主题,th:T1,T3,1,6,3,0.0365,0.4299,0.2849,0.3043,2.0911,0.7893,False,False
主题 → 行业 / 主题,th:T1,T3,1,6,6,0.4794,0.4532,0.091,0.2402,0.7073,0.7501,False,False
主题 → 行业 / 主题,th:T1,T3,3,1,0,0.0142,0.2947,-0.0674,0.0683,-2.4531,1.0479,False,False
主题 → 行业 / 主题,th:T1,T3,3,1,3,0.0216,0.9063,0.0749,0.008,2.2974,0.1177,False,False
主题 → 行业 / 主题,th:T1,T3,3,1,6,0.6376,0.2432,0.0157,0.08,0.471,1.1671,False,False
主题 → 行业 / 主题,th:T1,T3,3,3,0,0.2872,0.237,-0.0793,0.1854,-1.0643,1.1825,False,False
主题 → 行业 / 主题,th:T1,T3,3,3,3,0.0094,0.6499,0.1936,0.109,2.5971,0.4539,False,False
主题 → 行业 / 主题,th:T1,T3,3,3,6,0.6142,0.416,0.0347,0.1384,0.5041,0.8133,False,False
主题 → 行业 / 主题,th:T1,T3,3,6,0,0.2301,0.3979,0.1187,0.2631,1.2001,0.8453,False,False
主题 → 行业 / 主题,th:T1,T3,3,6,3,0.0098,0.5043,0.222,0.2201,2.5833,0.6677,False,False
主题 → 行业 / 主题,th:T1,T3,3,6,6,0.6551,0.6459,0.0329,0.1498,0.4467,0.4595,False,False
主题 → 行业 / 主题,th:T1,T3,6,1,0,0.7757,0.4716,0.0065,0.0337,0.2849,0.7199,False,False
主题 → 行业 / 主题,th:T1,T3,6,1,3,0.0613,0.4767,0.0412,0.0363,1.871,0.7116,False,False
主题 → 行业 / 主题,th:T1,T3,6,1,6,0.3822,0.5118,0.0168,0.0363,0.8738,0.6561,False,False
主题 → 行业 / 主题,th:T1,T3,6,3,0,0.2931,0.3423,0.0585,0.1541,1.0512,0.9496,False,False
