family,lead,target,w,tgt,half,slope,t,n,p,hit
JP→JP,ゴム製品,サービス業,1,1,H1,-0.00595,-0.55685,2454,0.57763,0.50081
JP→JP,ゴム製品,パルプ・紙,1,1,H1,-0.03452,-1.41018,2454,0.15849,0.48329
JP→JP,ゴム製品,不動産業,1,1,H1,0.02935,1.54796,2454,0.12163,0.49674
JP→JP,ゴム製品,保険業,1,1,H1,0.01719,0.57453,2454,0.56561,0.50448
JP→JP,ゴム製品,化学,1,1,H1,-0.00503,-0.815,2454,0.41507,0.50041
JP→JP,ゴム製品,医薬品,1,1,H1,-0.0201,-1.36756,2454,0.17145,0.49185
JP→JP,ゴム製品,卸売業,1,1,H1,-0.00796,-1.20143,2454,0.22958,0.48126
JP→JP,ゴム製品,小売業,1,1,H1,-0.0153,-1.41346,2454,0.15752,0.48533
JP→JP,ゴム製品,建設業,1,1,H1,-0.0049,-0.47396,2454,0.63553,0.49511
JP→JP,ゴム製品,情報・通信業,1,1,H1,-0.01299,-1.36738,2454,0.17151,0.49185
JP→JP,ゴム製品,機械,1,1,H1,0.02108,2.16744,2454,0.0302,0.51263
JP→JP,ゴム製品,水産・農林業,1,1,H1,-0.01893,-1.12102,2454,0.26228,0.49226
JP→JP,ゴム製品,海運業,1,1,H1,0.06424,2.29973,2454,0.02146,0.51467
JP→JP,ゴム製品,石油・石炭製品,1,1,H1,-0.03481,-1.41301,2454,0.15765,0.47922
JP→JP,ゴム製品,精密機器,1,1,H1,-0.00386,-0.40679,2454,0.68416,0.49389
JP→JP,ゴム製品,繊維製品,1,1,H1,-0.00362,-0.31551,2454,0.75237,0.50326
JP→JP,ゴム製品,証券、商品先物取引業,1,1,H1,0.01506,0.78648,2454,0.43159,0.49919
JP→JP,ゴム製品,輸送用機器,1,1,H1,0.02169,1.41633,2454,0.15668,0.51182
JP→JP,ゴム製品,金属製品,1,1,H1,0.02034,2.12986,2454,0.03318,0.52037
JP→JP,ゴム製品,鉄鋼,1,1,H1,0.01886,1.08113,2454,0.27964,0.5057
JP→JP,ゴム製品,鉱業,1,1,H1,-0.04713,-2.15188,2454,0.03141,0.49674
JP→JP,ゴム製品,銀行業,1,1,H1,-0.0079,-0.53856,2454,0.59019,0.47963
JP→JP,ゴム製品,電気・ガス業,1,1,H1,-0.00369,-0.16629,2454,0.86793,0.49267
JP→JP,ゴム製品,電気機器,1,1,H1,0.00814,0.89349,2454,0.3716,0.51508
JP→JP,ゴム製品,非鉄金属,1,1,H1,-0.0005,-0.03255,2454,0.97404,0.50407
JP→JP,ゴム製品,食料品,1,1,H1,-0.02237,-1.68944,2454,0.09113,0.50204
JP→JP,サービス業,その他製品,1,1,H1,0.02002,1.34714,2454,0.17793,0.5163
JP→JP,サービス業,その他金融業,1,1,H1,-0.07223,-1.98694,2454,0.04693,0.50326
JP→JP,サービス業,ガラス・土石製品,1,1,H1,-0.047,-2.27902,2454,0.02267,0.48452
JP→JP,サービス業,ゴム製品,1,1,H1,0.00026,0.00813,2454,0.99352,0.4943
JP→JP,サービス業,パルプ・紙,1,1,H1,-0.0017,-0.04031,2454,0.96784,0.49715
JP→JP,サービス業,不動産業,1,1,H1,-0.06306,-1.86865,2454,0.06167,0.49185
JP→JP,サービス業,保険業,1,1,H1,0.04363,0.80543,2454,0.42057,0.50693
JP→JP,サービス業,化学,1,1,H1,-0.01273,-1.15272,2454,0.24903,0.48003
JP→JP,サービス業,医薬品,1,1,H1,0.06071,2.40873,2454,0.01601,0.522
JP→JP,サービス業,卸売業,1,1,H1,0.01118,0.94908,2454,0.34258,0.51793
JP→JP,サービス業,小売業,1,1,H1,0.03974,2.14222,2454,0.03218,0.51711
JP→JP,サービス業,建設業,1,1,H1,-0.01799,-0.93861,2454,0.34793,0.47718
JP→JP,サービス業,情報・通信業,1,1,H1,0.00415,0.23666,2454,0.81292,0.51385
JP→JP,サービス業,機械,1,1,H1,-0.04978,-2.99148,2454,0.00278,0.4784
JP→JP,サービス業,水産・農林業,1,1,H1,0.0071,0.23357,2454,0.81531,0.49878
JP→JP,サービス業,海運業,1,1,H1,-0.10424,-2.17707,2454,0.02948,0.48778
JP→JP,サービス業,石油・石炭製品,1,1,H1,-0.02456,-0.56849,2454,0.5697,0.50204
JP→JP,サービス業,精密機器,1,1,H1,0.00314,0.18869,2454,0.85033,0.50774
JP→JP,サービス業,繊維製品,1,1,H1,0.01672,0.8365,2454,0.40287,0.50896
JP→JP,サービス業,証券、商品先物取引業,1,1,H1,-0.0056,-0.15635,2454,0.87576,0.49185
JP→JP,サービス業,輸送用機器,1,1,H1,-0.01483,-0.54832,2454,0.58348,0.48085
JP→JP,サービス業,金属製品,1,1,H1,-0.01353,-0.8139,2454,0.4157,0.48859
JP→JP,サービス業,鉄鋼,1,1,H1,-0.06129,-1.90607,2454,0.05664,0.47311
JP→JP,サービス業,鉱業,1,1,H1,-0.04122,-1.05128,2454,0.29313,0.47555
JP→JP,サービス業,銀行業,1,1,H1,0.0832,3.19568,2454,0.0014,0.52526
JP→JP,サービス業,電気・ガス業,1,1,H1,0.12892,3.13099,2454,0.00174,0.52526
JP→JP,サービス業,電気機器,1,1,H1,-0.01661,-1.03283,2454,0.30168,0.48818
JP→JP,サービス業,非鉄金属,1,1,H1,-0.05403,-1.93779,2454,0.05265,0.48289
JP→JP,サービス業,食料品,1,1,H1,0.06484,2.87155,2454,0.00408,0.52323
JP→JP,パルプ・紙,その他製品,1,1,H1,0.00264,0.37455,2454,0.70799,0.50774
JP→JP,パルプ・紙,その他金融業,1,1,H1,-0.02822,-1.55304,2454,0.12041,0.49063
JP→JP,パルプ・紙,ガラス・土石製品,1,1,H1,-0.00656,-0.6391,2454,0.52276,0.50448
JP→JP,パルプ・紙,ゴム製品,1,1,H1,0.01734,1.12604,2454,0.26015,0.50367
JP→JP,パルプ・紙,サービス業,1,1,H1,-0.00186,-0.19609,2454,0.84454,0.49878
JP→JP,パルプ・紙,不動産業,1,1,H1,-0.01822,-1.15165,2454,0.24946,0.49959
JP→JP,パルプ・紙,保険業,1,1,H1,0.02005,0.78825,2454,0.43055,0.49756
JP→JP,パルプ・紙,化学,1,1,H1,-0.00229,-0.3985,2454,0.69026,0.48615
JP→JP,パルプ・紙,医薬品,1,1,H1,0.03266,2.57817,2454,0.00993,0.51997
JP→JP,パルプ・紙,卸売業,1,1,H1,-0.00184,-0.33956,2454,0.73419,0.49633
JP→JP,パルプ・紙,小売業,1,1,H1,0.00816,0.86748,2454,0.38568,0.51263
JP→JP,パルプ・紙,建設業,1,1,H1,0.01355,1.46992,2454,0.14158,0.51263
JP→JP,パルプ・紙,情報・通信業,1,1,H1,-0.00054,-0.06542,2454,0.94784,0.49389
JP→JP,パルプ・紙,機械,1,1,H1,-0.01428,-1.71011,2454,0.08725,0.48696
JP→JP,パルプ・紙,水産・農林業,1,1,H1,0.01215,0.85539,2454,0.39233,0.50163
JP→JP,パルプ・紙,海運業,1,1,H1,0.00053,0.02089,2454,0.98334,0.49959
JP→JP,パルプ・紙,石油・石炭製品,1,1,H1,0.02572,1.20906,2454,0.22664,0.50244
JP→JP,パルプ・紙,精密機器,1,1,H1,0.00432,0.54363,2454,0.58669,0.5
JP→JP,パルプ・紙,繊維製品,1,1,H1,0.01331,1.29771,2454,0.19439,0.50367
JP→JP,パルプ・紙,証券、商品先物取引業,1,1,H1,-0.00664,-0.39634,2454,0.69186,0.48655
JP→JP,パルプ・紙,輸送用機器,1,1,H1,-0.0191,-1.47364,2454,0.14058,0.49022
JP→JP,パルプ・紙,金属製品,1,1,H1,0.00209,0.25339,2454,0.79997,0.48574
JP→JP,パルプ・紙,鉄鋼,1,1,H1,-0.00231,-0.14831,2454,0.8821,0.49796
JP→JP,パルプ・紙,鉱業,1,1,H1,-0.00515,-0.27287,2454,0.78495,0.49063
JP→JP,パルプ・紙,銀行業,1,1,H1,0.00751,0.59227,2454,0.55367,0.50122
JP→JP,パルプ・紙,電気・ガス業,1,1,H1,0.03771,1.91589,2454,0.05538,0.51263
JP→JP,パルプ・紙,電気機器,1,1,H1,-0.00718,-0.90823,2454,0.36376,0.49348
JP→JP,パルプ・紙,非鉄金属,1,1,H1,-0.00421,-0.30309,2454,0.76182,0.49633
JP→JP,パルプ・紙,食料品,1,1,H1,0.02266,2.02344,2454,0.04303,0.50733
JP→JP,不動産業,その他製品,1,1,H1,0.00276,0.32433,2454,0.74569,0.51915
JP→JP,不動産業,その他金融業,1,1,H1,0.01819,0.80448,2454,0.42112,0.4947
JP→JP,不動産業,ガラス・土石製品,1,1,H1,-0.02742,-2.25532,2454,0.02411,0.48329
JP→JP,不動産業,ゴム製品,1,1,H1,-0.02474,-1.31902,2454,0.18716,0.51182
JP→JP,不動産業,サービス業,1,1,H1,0.02373,2.18585,2454,0.02883,0.50774
JP→JP,不動産業,パルプ・紙,1,1,H1,-0.02889,-1.19418,2454,0.23241,0.49837
JP→JP,不動産業,保険業,1,1,H1,-0.02233,-0.68128,2454,0.49569,0.50163
JP→JP,不動産業,化学,1,1,H1,-0.00451,-0.68666,2454,0.4923,0.49511
JP→JP,不動産業,医薬品,1,1,H1,-0.00338,-0.22565,2454,0.82147,0.48818
JP→JP,不動産業,卸売業,1,1,H1,-0.00149,-0.22236,2454,0.82404,0.48085
JP→JP,不動産業,小売業,1,1,H1,0.00461,0.40271,2454,0.68716,0.49633
JP→JP,不動産業,建設業,1,1,H1,0.01382,1.1635,2454,0.24463,0.49307
JP→JP,不動産業,情報・通信業,1,1,H1,0.01217,1.203,2454,0.22898,0.51182
JP→JP,不動産業,機械,1,1,H1,0.00633,0.65016,2454,0.51559,0.49511
JP→JP,不動産業,水産・農林業,1,1,H1,-0.00037,-0.02156,2454,0.9828,0.49185
JP→JP,不動産業,海運業,1,1,H1,0.02184,0.71046,2454,0.47742,0.51263
JP→JP,不動産業,石油・石炭製品,1,1,H1,0.0029,0.11345,2454,0.90967,0.5057
JP→JP,不動産業,精密機器,1,1,H1,0.00719,0.73587,2454,0.46181,0.49104
JP→JP,不動産業,繊維製品,1,1,H1,0.00428,0.34634,2454,0.72908,0.49959
JP→JP,不動産業,証券、商品先物取引業,1,1,H1,0.02794,1.32683,2454,0.18457,0.489
JP→JP,不動産業,輸送用機器,1,1,H1,-0.00893,-0.55993,2454,0.57553,0.5
JP→JP,不動産業,金属製品,1,1,H1,0.00638,0.62534,2454,0.53175,0.50856
JP→JP,不動産業,鉄鋼,1,1,H1,0.01502,0.7749,2454,0.4384,0.49226
JP→JP,不動産業,鉱業,1,1,H1,-0.01876,-0.83896,2454,0.40149,0.48655
JP→JP,不動産業,銀行業,1,1,H1,-0.00647,-0.41351,2454,0.67923,0.4947
JP→JP,不動産業,電気・ガス業,1,1,H1,-0.0492,-1.97632,2454,0.04812,0.49307
JP→JP,不動産業,電気機器,1,1,H1,-0.01836,-2.04251,2454,0.0411,0.50081
JP→JP,不動産業,非鉄金属,1,1,H1,0.00015,0.00918,2454,0.99268,0.50937
JP→JP,不動産業,食料品,1,1,H1,-0.01507,-1.19127,2454,0.23355,0.48126
JP→JP,保険業,その他製品,1,1,H1,0.00251,0.39756,2454,0.69096,0.5216
JP→JP,保険業,その他金融業,1,1,H1,-0.00429,-0.26046,2454,0.79451,0.48655
JP→JP,保険業,ガラス・土石製品,1,1,H1,0.00568,0.55614,2454,0.57811,0.51589
JP→JP,保険業,ゴム製品,1,1,H1,0.00701,0.43948,2454,0.66031,0.51508
JP→JP,保険業,サービス業,1,1,H1,0.0044,0.54734,2454,0.58415,0.48818
JP→JP,保険業,パルプ・紙,1,1,H1,-0.01979,-1.06348,2454,0.28756,0.48696
JP→JP,保険業,不動産業,1,1,H1,0.02421,1.66349,2454,0.09621,0.49796
JP→JP,保険業,化学,1,1,H1,-0.00174,-0.35999,2454,0.71885,0.51548
JP→JP,保険業,医薬品,1,1,H1,-0.00642,-0.55087,2454,0.58172,0.48248
JP→JP,保険業,卸売業,1,1,H1,-0.00662,-1.31758,2454,0.18764,0.49552
JP→JP,保険業,小売業,1,1,H1,0.00227,0.26106,2454,0.79405,0.48737
JP→JP,保険業,建設業,1,1,H1,0.01061,1.32479,2454,0.18524,0.48492
JP→JP,保険業,情報・通信業,1,1,H1,0.00667,0.91009,2454,0.36278,0.49144
JP→JP,保険業,機械,1,1,H1,0.00859,1.16676,2454,0.24331,0.51385
JP→JP,保険業,水産・農林業,1,1,H1,0.00936,0.75753,2454,0.44873,0.51222
JP→JP,保険業,海運業,1,1,H1,0.01258,0.53499,2454,0.59265,0.51997
JP→JP,保険業,石油・石炭製品,1,1,H1,-0.00214,-0.10982,2454,0.91255,0.51059
JP→JP,保険業,精密機器,1,1,H1,-0.00131,-0.17049,2454,0.86463,0.49022
JP→JP,保険業,繊維製品,1,1,H1,-0.00726,-0.76771,2454,0.44266,0.49959
JP→JP,保険業,証券、商品先物取引業,1,1,H1,0.00081,0.04905,2454,0.96088,0.48085
JP→JP,保険業,輸送用機器,1,1,H1,-0.01763,-1.49663,2454,0.13449,0.50815
JP→JP,保険業,金属製品,1,1,H1,0.01614,2.16682,2454,0.03025,0.51263
JP→JP,保険業,鉄鋼,1,1,H1,0.02191,1.53227,2454,0.12546,0.49715
JP→JP,保険業,鉱業,1,1,H1,-0.03339,-1.76126,2454,0.07819,0.49796
JP→JP,保険業,銀行業,1,1,H1,-0.01461,-1.25499,2454,0.20948,0.48411
JP→JP,保険業,電気・ガス業,1,1,H1,-0.00684,-0.3731,2454,0.70907,0.49633
JP→JP,保険業,電気機器,1,1,H1,-0.00445,-0.65975,2454,0.50941,0.5
JP→JP,保険業,非鉄金属,1,1,H1,0.01154,0.89989,2454,0.36818,0.50122
JP→JP,保険業,食料品,1,1,H1,-0.01008,-1.00874,2454,0.3131,0.4943
JP→JP,化学,その他製品,1,1,H1,-0.05838,-2.27135,2454,0.02313,0.47637
JP→JP,化学,その他金融業,1,1,H1,0.03067,0.4555,2454,0.64875,0.51141
JP→JP,化学,ガラス・土石製品,1,1,H1,0.09127,2.46619,2454,0.01366,0.51793
JP→JP,化学,ゴム製品,1,1,H1,0.05894,1.01982,2454,0.30781,0.50244
JP→JP,化学,サービス業,1,1,H1,-0.02887,-0.87379,2454,0.38223,0.49185
JP→JP,化学,パルプ・紙,1,1,H1,0.02853,0.3985,2454,0.69026,0.50937
JP→JP,化学,不動産業,1,1,H1,0.07947,1.3773,2454,0.16842,0.50407
JP→JP,化学,保険業,1,1,H1,0.09855,1.11366,2454,0.26542,0.51182
JP→JP,化学,医薬品,1,1,H1,-0.07127,-1.59117,2454,0.11157,0.48615
JP→JP,化学,卸売業,1,1,H1,-0.02021,-0.99509,2454,0.31969,0.47555
JP→JP,化学,小売業,1,1,H1,-0.09113,-2.75288,2454,0.00591,0.49022
JP→JP,化学,建設業,1,1,H1,-0.02444,-0.74494,2454,0.45631,0.49756
JP→JP,化学,情報・通信業,1,1,H1,-0.04299,-1.42898,2454,0.15301,0.48533
JP→JP,化学,機械,1,1,H1,0.05029,1.78545,2454,0.07419,0.49715
JP→JP,化学,水産・農林業,1,1,H1,-0.04303,-0.81699,2454,0.41394,0.5053
JP→JP,化学,海運業,1,1,H1,0.13054,1.57434,2454,0.11541,0.50163
JP→JP,化学,石油・石炭製品,1,1,H1,0.04465,0.59953,2454,0.54882,0.49633
JP→JP,化学,精密機器,1,1,H1,0.04375,1.48782,2454,0.1368,0.52404
JP→JP,化学,繊維製品,1,1,H1,-0.01016,-0.29087,2454,0.77115,0.49185
JP→JP,化学,証券、商品先物取引業,1,1,H1,0.02846,0.48743,2454,0.62595,0.50652
JP→JP,化学,輸送用機器,1,1,H1,0.04215,0.91687,2454,0.35921,0.50041
JP→JP,化学,金属製品,1,1,H1,0.01049,0.35583,2454,0.72197,0.50244
JP→JP,化学,鉄鋼,1,1,H1,0.04646,0.8692,2454,0.38474,0.50652
JP→JP,化学,鉱業,1,1,H1,0.06988,1.06519,2454,0.28679,0.50896
JP→JP,化学,銀行業,1,1,H1,-0.09901,-2.16074,2454,0.03072,0.50081
JP→JP,化学,電気・ガス業,1,1,H1,-0.01704,-0.25316,2454,0.80014,0.49022
JP→JP,化学,電気機器,1,1,H1,0.10469,3.83775,2454,0.00012,0.52812
JP→JP,化学,非鉄金属,1,1,H1,0.14138,2.90773,2454,0.00364,0.52282
JP→JP,化学,食料品,1,1,H1,-0.08221,-2.07864,2454,0.03765,0.49226
JP→JP,医薬品,その他製品,1,1,H1,0.02034,1.96147,2454,0.04982,0.51548
JP→JP,医薬品,その他金融業,1,1,H1,-0.04206,-1.6809,2454,0.09278,0.49756
JP→JP,医薬品,ガラス・土石製品,1,1,H1,-0.02221,-1.44583,2454,0.14822,0.49511
JP→JP,医薬品,ゴム製品,1,1,H1,-0.02581,-1.11494,2454,0.26487,0.50489
JP→JP,医薬品,サービス業,1,1,H1,0.01647,1.29033,2454,0.19694,0.5
JP→JP,医薬品,パルプ・紙,1,1,H1,0.02019,0.68156,2454,0.49552,0.511
JP→JP,医薬品,不動産業,1,1,H1,-0.01957,-0.83217,2454,0.40531,0.49348
JP→JP,医薬品,保険業,1,1,H1,-0.01443,-0.38249,2454,0.7021,0.49796
JP→JP,医薬品,化学,1,1,H1,-0.00409,-0.50485,2454,0.61367,0.49959
JP→JP,医薬品,卸売業,1,1,H1,-0.00113,-0.14037,2454,0.88837,0.5
JP→JP,医薬品,小売業,1,1,H1,0.02769,2.00879,2454,0.04456,0.50815
JP→JP,医薬品,建設業,1,1,H1,-0.00375,-0.28085,2454,0.77882,0.49267
