target,combo,k,signs,disc_auc,val_auc,val_ba,p,g1,g2,g3
T1_breakout,M3 + T3 + S07,3,−−−,0.5732,0.4573,0.4775,0.7408,False,False,False
T1_breakout,M3 + T3 + S08,3,−−−,0.5701,0.4513,0.4759,0.7796,False,False,False
T1_breakout,M3 + T3 + S09,3,−−−,0.594,0.4958,0.4937,0.4403,False,False,False
T1_breakout,M3 + T3 + S10,3,−−−,0.6475,0.4822,0.4832,0.5503,False,False,False
T1_breakout,M3 + T3 + S11,3,−−−,0.5595,0.5018,0.5144,0.3927,False,True,False
T1_breakout,M3 + T3 + S12,3,−−+,0.5573,0.4899,0.5161,0.4876,False,False,False
T1_breakout,M3 + T3 + S13,3,−−+,0.6034,0.4673,0.4876,0.6687,False,False,False
T1_breakout,M3 + T3 + S14,3,−−+,0.6268,0.5393,0.4954,0.1593,False,True,False
T1_breakout,M3 + T3 + S15,3,−−−,0.5573,0.4871,0.4988,0.51,False,False,False
T1_breakout,M3 + T3 + E5,3,−−+,,0.4553,,0.754,False,False,False
T1_breakout,M3 + T3 + S16,3,−−+,0.5631,0.4661,0.4739,0.6772,False,False,False
T1_breakout,M3 + E1 + E2,3,−−−,0.6057,0.4951,0.5059,0.4456,False,False,False
T1_breakout,M3 + E1 + E3,3,−−−,0.5744,0.561,0.5342,0.0809,False,True,True
T1_breakout,M3 + E1 + E4,3,−−+,0.6072,0.5539,0.5175,0.1026,False,True,True
T1_breakout,M3 + E1 + H1,3,−−−,0.5806,0.5299,0.5393,0.2065,False,True,False
T1_breakout,M3 + E1 + S01,3,−−+,0.6347,0.5461,0.5432,0.1305,False,True,False
T1_breakout,M3 + E1 + S02,3,−−−,0.5893,0.4896,0.4975,0.4901,False,False,False
T1_breakout,M3 + E1 + S03,3,−−+,0.6251,0.5473,0.5267,0.1256,False,True,False
T1_breakout,M3 + E1 + S04,3,−−−,0.6248,0.5294,0.5227,0.2091,False,True,False
T1_breakout,M3 + E1 + S05,3,−−+,0.6695,0.4915,0.4909,0.4743,False,False,False
T1_breakout,M3 + E1 + S06,3,−−+,0.6332,0.556,0.5061,0.0959,False,True,True
